Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 108 has load 181781
Thread 109 has load 180625
Thread 110 has load 184730
Thread 111 has load 183505
Thread 112 has load 182280
Thread 113 has load 181055
Thread 114 has load 184950
Thread 115 has load 183654
Thread 116 has load 182358
Thread 117 has load 181062
Thread 118 has load 184741
Thread 119 has load 183372
Thread 120 has load 182003
Thread 121 has load 180634
Thread 122 has load 184091
Thread 123 has load 182647
Thread 124 has load 181203
Thread 125 has load 184470
Thread 126 has load 182949
Thread 127 has load 181428
Thread 128 has load 184500
Thread 129 has load 182900
Thread 130 has load 181300
Thread 131 has load 184172
Thread 132 has load 182491
Thread 133 has load 180810
Thread 134 has load 183477
Thread 135 has load 181713
Thread 136 has load 184212
Thread 137 has load 182363
Thread 138 has load 180514
Thread 139 has load 182798
Thread 140 has load 180862
Thread 141 has load 182970
Thread 142 has load 180945
Thread 143 has load 182873
Thread 144 has load 180757
Thread 145 has load 182501
Thread 146 has load 180292
Thread 147 has load 181848
Thread 148 has load 183260
Thread 149 has load 180859
Thread 150 has load 182075
Thread 151 has load 183141
Thread 152 has load 180540
Thread 153 has load 181402
Thread 154 has load 182108
Thread 155 has load 182655
Thread 156 has load 183040
Thread 157 has load 183260
Thread 158 has load 180124
Thread 159 has load 180120
Thread 160 has load 183018
Thread 161 has load 182550
Thread 162 has load 181902
Thread 163 has load 181071
Thread 164 has load 180054
Thread 165 has load 181610
Thread 166 has load 180081
Thread 167 has load 180982
Thread 168 has load 181475
Thread 169 has load 181548
Thread 170 has load 181189
Thread 171 has load 180386
Thread 172 has load 181384
Thread 173 has load 181671
Thread 174 has load 181220
Thread 175 has load 182005
Thread 176 has load 181722
Thread 177 has load 180323
Thread 178 has load 181177
Thread 179 has load 180177
Thread 180 has load 180180
Thread 181 has load 180086
Thread 182 has load 181044
Thread 183 has load 180306
Thread 184 has load 180574
Thread 185 has load 180411
Thread 186 has load 180122
Thread 187 has load 14878
Thread 0 is finished, elapsed time = 7168μs 
Thread 12 is finished, elapsed time = 5160μs 
Thread 3 is finished, elapsed time = 7330μs 
Thread 1 is finished, elapsed time = 7774μs 
Thread 8 is finished, elapsed time = 6743μs 
Thread 4 is finished, elapsed time = 7894μs 
Thread 5 is finished, elapsed time = 7854μs 
Thread 6 is finished, elapsed time = 7868μs 
Thread 7 is finished, elapsed time = 7577μs 
Thread 10 is finished, elapsed time = 7075μs 
Thread 9 is finished, elapsed time = 7257μs 
Thread 11 is finished, elapsed time = 7464μs 
Thread 2 is finished, elapsed time = 10ms 
Thread 18 is finished, elapsed time = 9849μs 
Thread 13 is finished, elapsed time = 11ms 
Thread 31 is finished, elapsed time = 8338μs 
Thread 15 is finished, elapsed time = 12ms 
Thread 16 is finished, elapsed time = 12ms 
Thread 25 is finished, elapsed time = 10ms 
Thread 14 is finished, elapsed time = 13ms 
Thread 19 is finished, elapsed time = 13ms 
Thread 20 is finished, elapsed time = 13ms 
Thread 21 is finished, elapsed time = 13ms 
Thread 17 is finished, elapsed time = 15ms 
Thread 37 is finished, elapsed time = 12ms 
Thread 38 is finished, elapsed time = 12ms 
Thread 35 is finished, elapsed time = 12ms 
Thread 27 is finished, elapsed time = 14ms 
Thread 55 is finished, elapsed time = 11ms 
Thread 43 is finished, elapsed time = 12ms 
Thread 45 is finished, elapsed time = 12ms 
